错误代码,描述,说明,建议
CODE_0,无错误,,
CODE_1,输出缓冲区溢出错误,,
CODE_10,PC 通信中断错误,,
CODE_100,机器人已改变模式,状态警告，一般模式改变 ,检查历史日志中的前置错误
CODE_101,已连接真实机器人,,
CODE_102,未连接真实机器人 - 模拟机器人,,
CODE_103,UR 以太网错误,,
CODE_103A1,安全控制板丢失 3 个一组的数据包,,
CODE_104,错误=向机器人发送空命令,,
CODE_10A1,PC 丢失数据包,,
CODE_10A101,PC 数据包接收过早,,
CODE_10A102,数据包计数器不匹配,,
CODE_10A103,PC 发送数据包过于频繁,,
CODE_11,循环冗余校验不佳错误,与关节串行通信问题,检查关节中的 2-线连接器和配线
CODE_111,机器人被其他物体拖住,,
CODE_115,未知的机器人类型,配置中指定的机器人类型未知,
CODE_116,实时部件警告,用户程序架构可能导致的 CPU 过载 ,重新架构用户程序
CODE_117,重启 SCB 失败,安全控制板无法从控制器重启。,重启机器人
CODE_12,未知消息错误,,
CODE_14,调试信息,,
CODE_150,保护性停止：位置接近关节极限,,
CODE_151,保护性停止：工具方向接近极限,,
CODE_152,保护性停止：位置接近安全板极限,,
CODE_153,保护性停止：位置偏离路径,,
CODE_154,保护性停止：位置位于奇点,机器人在奇点无法线性运动,使用关节空间运动或改变运动
CODE_155,保护性停止：机器人无法保持其位置，检查有效负载是否正确,,
CODE_156,保护性停止：进入自由驱动模式时，检测到错误的有效负载或安装，或机器人被其他物体拖住,由于设置错误，机器人可能发生非预期的移动,确认安装中使用的 TCP 配置和安装正确
CODE_160,Protective stop: The robot was powered off last time due to a joint position disagreement,"<p>Verify that the robot position in the 3D graphics matches the real robot, to ensure that the encoders function before releasing the brakes. Stand back and monitor the robot performing its first program cycle as expected.</p> <ul><li>If the position is not correct, the robot must be repaired. In this case, click <b>Power Off Robot</b>.</li><li>If the position is correct, please tick the check box below the 3D graphics and click <b>Robot Position Verified</b></li></ul> ",
CODE_161,"Protective stop: Large movement of the robot detected while it was powered off. The joints were moved while it was powered off, or the encoders do not function. ","<p>Verify that the robot position in the 3D graphics matches the real robot, to ensure that the encoders function before releasing the brakes. Stand back and monitor the robot performing its first program cycle as expected.</p> <ul><li>If the position is not correct, the robot must be repaired. In this case, click <b>Power Off Robot</b>.</li><li>If the position is correct, please tick the check box below the 3D graphics and click <b>Robot Position Verified</b></li></ul> ",
CODE_17,输入缓冲区中来自 PC 的数据包溢出,Masterboard 和 Motherboard 通信错误,检查线路板之间的以太网连接
CODE_172,控制模式非法,,
CODE_184,关节自检未完成,,
CODE_191,违反安全系统,,
CODE_191A1,违反关节位置极限,,
CODE_191A10,违反防护停止输出,,
CODE_191A11,违反紧急停止输出,,
CODE_191A12,违反动量极限,,
CODE_191A13,违反机器人运动输出,,
CODE_191A14,机器人在停止模式下没有制动,,
CODE_191A15,机器人在停止模式下继续运动,,
CODE_191A16,机器人没有及时停止,,
CODE_191A17,接收到 TCP 方向的空矢量,,
CODE_191A18,机器人没有停止输出违例,,
CODE_191A19,无效安全 IO 配置,,
CODE_191A2,违反关节速度极限,,
CODE_191A20,配置信息或极限设置没有收到,,
CODE_191A21,其他安全处理器发现违例,,
CODE_191A22,从 PC 收到不明指令,,
CODE_191A23,安全极限无效设置,,
CODE_191A24,缩减模式输出设置，不应该设置却设置了,,
CODE_191A25,缩减模式输出未设置，应该设置却未设置,,
CODE_191A26,非缩减模式输出设置，不应该设置却设置了,,
CODE_191A27,非缩减模式输出未设置，应该设置却未设置,,
CODE_191A28,机器人紧急停止超出最长停止时间,,
CODE_191A29,系统紧急停止超出最长停止时间,,
CODE_191A3,违反 TCP 速度极限,,
CODE_191A30,防护停止超出最长停止时间,,
CODE_191A4,违反 TCP 位置极限,,
CODE_191A5,违反 TCP 方向极限,,
CODE_191A6,违反电源极限,,
CODE_191A7,违反关节扭矩窗口,,
CODE_191A8,关节扭矩窗口过大,,
CODE_191A9,违反缩减模式输出,,
CODE_192,安全系统故障,,
CODE_192A1,机器人在紧急停止模式下依然通着电,,
CODE_192A10,TCP 位置冲突,,
CODE_192A11,TCP 方向冲突,,
CODE_192A12,电源冲突,,
CODE_192A13,关节扭矩窗口冲突,,
CODE_192A14,缩减模式输入冲突,,
CODE_192A15,缩减模式输出冲突,,
CODE_192A16,安全输出失败,,
CODE_192A17,防护停止输出冲突,,
CODE_192A18,其他安全处理器故障,,
CODE_192A19,紧急停止输出冲突,,
CODE_192A2,机器人紧急停止冲突,,
CODE_192A20,检测到 SPI 输出错误,,
CODE_192A21,动量冲突,,
CODE_192A22,机器人运动输出冲突,,
CODE_192A23,错误处理器 ID,,
CODE_192A24,错误处理器修订,,
CODE_192A25,检查到潜在供电不足,,
CODE_192A26,紧急停止输出冲突,,
CODE_192A27,防护停止输出冲突,,
CODE_192A28,机器人没有停止输出冲突,,
CODE_192A29,防护重置输入冲突,,
CODE_192A3,系统紧急停止冲突,,
CODE_192A30,安全处理器在故障模式下启动,,
CODE_192A31,缩减模式输出冲突,,
CODE_192A32,非缩减模式输出冲突,,
CODE_192A33,uA 和 uB 之间的校验和冲突,,
CODE_192A34,uA 和 GUI 之间的用户安全配置校验和冲突,,
CODE_192A35,uA 和 GUI 之间的机器人配置校验和冲突,,
CODE_192A36,在线 RAM 检测失败,,
CODE_192A37,并非所有功能相关的安全系统都在运行,,
CODE_192A4,防护停止冲突,,
CODE_192A5,Euromap 防护停止冲突,,
CODE_192A6,关节位置冲突,,
CODE_192A7,关节速度冲突,,
CODE_192A8,关节扭矩冲突,,
CODE_192A9,TCP 速度冲突,,
CODE_193,其中一个关节处于故障模式（导致安全系统故障）,,
CODE_193A0,关节 0,,
CODE_193A1,关节 1,,
CODE_193A10,Euromap 2,,
CODE_193A2,关节 2,,
CODE_193A3,关节 3,,
CODE_193A4,关节 4,,
CODE_193A5,关节 5,,
CODE_193A6,工具,,
CODE_193A7,屏幕 1,,
CODE_193A8,屏幕 2,,
CODE_193A9,Euromap 1,,
CODE_194,其中一个关节没有启动或不存在（导致安全系统故障）,,
CODE_194A0,关节 0,,
CODE_194A1,关节 1,,
CODE_194A10,Euromap 2,,
CODE_194A2,关节 2,,
CODE_194A3,关节 3,,
CODE_194A4,关节 4,,
CODE_194A5,关节 5,,
CODE_194A6,工具,,
CODE_194A7,屏幕 1,,
CODE_194A8,屏幕 2,,
CODE_194A9,Euromap 1,,
CODE_195,输送机速度过高,输送机速度高于机器人可以承受的范围,确保输送机跟踪设置正确
CODE_195A1,关节速度安全限制,,
CODE_195A2,TCP 速度安全限制,,
CODE_195A3,动量安全限制,,
CODE_196,MoveP 速度过高,相对交融半径速度过高,降低速度或增加用户程序的交融半径
CODE_197,交融区重叠警告,,
CODE_1A1,已存储警告的缓冲区溢出,,
CODE_1A2,RS485 输出缓冲区溢出（PC 信息问题）,,
CODE_2,输入缓冲区溢出错误,,
CODE_200,安全控制板硬件错误,,
CODE_200A1,硬件 ID 错误,,
CODE_200A10,3V3B power good pin 过低,,
CODE_200A11,5V power good 过低,,
CODE_200A12,3V3 电压过低,,
CODE_200A13,3V3 电压过高,,
CODE_200A14,48V 输入过低,,
CODE_200A15,48V 输入过高,,
CODE_200A16,24V IO 短路,,
CODE_200A17,PC 电流过高,,
CODE_200A18,机器人电压过低,,
CODE_200A19,机器人电压过高,,
CODE_200A2,MCU 类型错误,,
CODE_200A20,24V IO 电压过低,,
CODE_200A21,12V 电压过高,,
CODE_200A22,12V 电压过低,,
CODE_200A23,稳定 24V 的时间过长,,
CODE_200A24,稳定 24V IO 的时间过长,,
CODE_200A25,24V 电压过高,,
CODE_200A26,24V IO 电压过高,,
CODE_200A3,零件 ID 错误,,
CODE_200A4,RAM 检测失败,,
CODE_200A5,寄存器检测失败,,
CODE_200A6,pRom Crc 检测失败,,
CODE_200A7,Watchdog 重置处理器,,
CODE_200A8,OVG 信号检测未通过,,
CODE_200A9,3V3A power good pin 过低,,
CODE_201,安全板设置失败 ,接收到无效安全参数,确认安全配置的设置有效
CODE_203,PolyScope 检测到所示的安全参数和要应用的安全参数不匹配,PolyScope 持续验证所示的安全参数等于运行的参数,重新加载安装
CODE_204,Protective Stop: The program caused a sudden change in target position which was not expected.,,
CODE_26,检测到电机编码器索引信号漂移,关节机械问题,更换关节
CODE_27,校准数据无效或不存在，需要进行自我检测！,,
CODE_29,在线校准数据校验和失败,,
CODE_3,处理器过载错误,,
CODE_30,发送数据至主机的关节过多,,
CODE_31,捕捉到错误消息(并非来自主机),与关节串行通信问题 ,检查关节中的 2-线连接器和配线
CODE_32,闪存写入验证失败,,
CODE_33,校准闪存校验和失败,,
CODE_34,程序闪存校验和失败,,
CODE_34A0,引导加载期间程序闪存校验和失败,,
CODE_34A1,运行时程序闪存校验和失败,,
CODE_35,未定义关节 ID,,
CODE_36,引导加载程序命令非法,,
CODE_37,输入缓冲区解析错误,与关节串行通信问题 ,检查关节中的 2-线连接器和配线
CODE_38,在线 RAM 检测失败,,
CODE_38A1,数据总线检测失败,,
CODE_38A2,地址总线高卡检测失败,,
CODE_38A3,地址总线低卡检测失败,,
CODE_38A4,地址总线缺针检测失败,,
CODE_38A5,存储单元检测失败,,
CODE_39,逻辑和瞬时监控故障,,
CODE_39A1,最大当前偏离失败,,
CODE_39A100,监测点故障：ADC 任务超时,,
CODE_39A101,监测点故障：电机控制任务超时,,
CODE_39A102,监测点故障：电机编码器任务超时,,
CODE_39A103,监测点故障：关节编码器任务超时,,
CODE_39A104,监测点故障：通信任务超时,,
CODE_39A105,监测点故障：RAM 检测任务超时,,
CODE_39A106,监测点故障：校准验证检测任务超时,,
CODE_39A107,监测点故障：ROM 检测任务超时,,
CODE_39A2,超出最大关节编码器速度,,
CODE_39A3,超出最大电机编码器速度,,
CODE_39A4,检测到非法的关节状态改变,,
CODE_39A5,检测到过快的关节状态改变,,
CODE_39A6,5V 校准器电压过低,,
CODE_39A7,5V 校准器电压过高,,
CODE_4,通信中断,,
CODE_40,模数转换器达到关节上限,EMC 外部问题或内部电子设备 ,针对 EMC 问题检查接地和防护罩
CODE_41,Debug: Oscillator TRIM-register hit high limit [Argument = Joint Temperature in Celcius].,,
CODE_42,Debug: Oscillator TRIM-register hit low limit [Argument = Joint Temperature in Celcius].,,
CODE_44,一级总线的 CRC 检查失败,与关节或二级总线节点发生串行通信问题,检查关节中的 2-线连接器和配线
CODE_44A0,关节 0,,
CODE_44A1,关节 1,,
CODE_44A2,关节 2,,
CODE_44A3,关节 3,,
CODE_44A4,关节 4,,
CODE_44A5,关节 5,,
CODE_44A6,工具,,
CODE_45,模数转换器错误,,
CODE_46,齿轮箱松动或编码器没有安装好,与编码器安装有关的齿轮出现机械问题,更换关节
CODE_47,模数转换器达到下限,EMC 外部问题或内部电子设备 ,针对 EMC 问题检查接地和防护罩
CODE_48,检测到电源总线电压降。,48V 电源总线错误,检查 PSU 的 48V 输出。检查配电器 PCB。需要更换 48V PSU  或配电器
CODE_49,RS485 接收警告,,
CODE_49A200,辅助 RS485 总线失效,,
CODE_4A1,与 PC 通信丢失。,,
CODE_4A10,有主 Teach Pendant，但是 Teach Pendant 安全未启用 ,错误的安全配置,更新安全配置中的其他设置
CODE_4A11,有次 Teach Pendant，但是 Teach Pendant 安全未启用,错误的安全配置,更新安全配置中的其他设置
CODE_4A12,与关节 0 的通信丢失,一个以上关节的串行通信问题,
CODE_4A13,与关节 1 的通信丢失,一个以上关节的串行通信问题,
CODE_4A14,与关节 2 的通信丢失,一个以上关节的串行通信问题,
CODE_4A15,与关节 3 的通信丢失,一个以上关节的串行通信问题,
CODE_4A16,与关节 4 的通信丢失,一个以上关节的串行通信问题,
CODE_4A17,与关节 5 的通信丢失,一个以上关节的串行通信问题,
CODE_4A18,与工具通信丢失。,一个以上关节的串行通信问题,
CODE_4A2,与主 MASTERBOARD uP 通信丢失。,,
CODE_4A3,与次 MASTERBOARD uP 通信丢失。,,
CODE_4A4,与主 Teach Pendant uP 通信丢失。,,
CODE_4A5,与次 Teach Pendant uP 通信丢失。,,
CODE_4A6,与主 EUROMAP67 uP 通信丢失。,,
CODE_4A65,主 Teach Pendant 丢失数据包,,
CODE_4A66,次 Teach Pendant 丢失数据包,,
CODE_4A67,主 Euromap67 丢失数据包,,
CODE_4A68,次 Euromap67 丢失数据包,,
CODE_4A69,次 Masterboard 丢失数据包,,
CODE_4A7,与次 EUROMAP67 uP 通信丢失。,,
CODE_4A70,关节 0 丢失数据包,一个以上关节的串行通信问题,
CODE_4A71,关节 1 丢失数据包,一个以上关节的串行通信问题,
CODE_4A72,关节 2 丢失数据包,一个以上关节的串行通信问题,
CODE_4A73,关节 3 丢失数据包,一个以上关节的串行通信问题,
CODE_4A74,关节 4 丢失数据包,一个以上关节的串行通信问题,
CODE_4A75,关节 5 丢失数据包,一个以上关节的串行通信问题,
CODE_4A76,工具丢失数据包,一个以上关节的串行通信问题,
CODE_4A77,uPA 至关节丢失数据包,,
CODE_4A78,uPA 至 Teach Pendant 丢失数据包,,
CODE_4A79,uPA 至 uPB 丢失数据包,,
CODE_4A8,有主 EUROMAP67 uP，但是 euromap67 未启用 ,错误的安全配置,更新安全配置中的其他设置
CODE_4A80,uPB 丢失数据包,,
CODE_4A81,主屏幕数据包计数器冲突,,
CODE_4A82,次屏幕数据包计数器冲突,,
CODE_4A83,主 Euromap67 数据包计数器冲突,,
CODE_4A84,次 Euromap67 数据包计数器冲突,,
CODE_4A85,次 Masterboard 数据包计数器冲突,,
CODE_4A86,关节 0 数据包计数器冲突,,
CODE_4A87,关节 1 数据包计数器冲突,,
CODE_4A88,关节 2 数据包计数器冲突,,
CODE_4A89,关节 3 数据包计数器冲突,,
CODE_4A9,有次 EUROMAP67 uP，但是 euromap67 未启用,错误的安全配置,更新安全配置中的其他设置
CODE_4A90,关节 4 数据包计数器冲突,,
CODE_4A91,关节 5 数据包计数器冲突,,
CODE_4A92,工具数据包计数器冲突,,
CODE_4A93,处理器 A 至关节数据包计数器冲突,,
CODE_4A94,处理器 A 至处理器B数据包计数器冲突,,
CODE_4A95,处理器 A 至 Teach pendant 和 euromap 数据包计数器冲突,,
CODE_5,处理器重负荷警告 ,,
CODE_50,机器人电源启动失败,电气错误控制箱,移除与主板 I/O 接口的所有外部连接。检查短路。错误代码参数详细列明错误原因。
CODE_50A1,启动前在 24V 导轨处检测到电压,,
CODE_50A100,未连接电缆,,
CODE_50A101,检测到机器人发生短路或机器人与控制箱连接错误,,
CODE_50A102,电压上升太慢,,
CODE_50A103,电压未达到可接受的水平,,
CODE_50A11,启动后在 24V 导轨处未检测到电压,,
CODE_50A15,警告，等待安全系统 2,,
CODE_50A16,Teach Pendant 未响应,配线松动或安全配置不正确,检查线缆或其他安装设置中的安全配置变更
CODE_50A17,Euromap67 接口未响应,配线松动或安全配置不正确,检查线缆或其他安装设置中的安全配置变更
CODE_50A18,警告，等待安全系统 1,,
CODE_50A19,警告，等待二级主板处理器返回有效的“euromap67 启动”状态位,,
CODE_50A2,机器人未加电但存在电压,,
CODE_50A20,5V、3V3 或模数转换器错误(5V 过高),,
CODE_50A21,5V、3V3 或模数转换器错误(5V 过低),,
CODE_50A22,机器人电流传感器读数过高,,
CODE_50A23,机器人电流传感器读数过低,,
CODE_50A24,不存在 48V 电压(检查内部连接),,
CODE_50A25,机器人加电时在 48V 电源装置处存在电压,,
CODE_50A26,48V 电源装置未加电但存在电压,,
CODE_50A27,12V、3V3 或模数转换器错误(12V 过高),,
CODE_50A28,12V、3V3 或模数转换器错误(12V 过低),,
CODE_50A29,模拟 I/O 错误(-12V 过高),,
CODE_50A30,模拟 I/O 错误(-12V 过低),,
CODE_50A31,其他安全系统未初始化,,
CODE_50A40,来自 PSU1 的电压错误,,
CODE_50A41,来自 PSU2 的电压错误,,
CODE_50A42,来自 PSU 的电压将不会消失,,
CODE_50A43,警告，等待主处理器返回 CB2 型答案,,
CODE_50A5,电源电压过低,,
CODE_50A50,处理器 A 3.3V 电压超限,,
CODE_50A51,机器人电压低于阈值,,
CODE_50A52,机器人电压高于阈值,,
CODE_50A53,58V 发电机偏差错误,,
CODE_50A54,5V 校准器过低,,
CODE_50A55,5V 校准器过高,,
CODE_50A56,-4V 校准器过低,,
CODE_50A57,-4V 校准器过高,,
CODE_50A6,电源电压过高,,
CODE_50A80,上次 CPU 复位由低功耗重置导致,,
CODE_50A81,上次 CPU 复位由窗口 Watchdog 重置导致,,
CODE_50A82,上次 CPU 复位由独立 Watchdog 重置导致,,
CODE_50A83,上次 CPU 复位由软件重置导致,The safety control board was reset on explicit request.,
CODE_50A84,上次 CPU 复位由外部引脚重置导致,,
CODE_50A85,上次 CPU 复位由掉电重置导致,,
CODE_50A99,PCB 上软件出错,,
CODE_51,二级总线的 CRC 检查失败,,
CODE_51A0,处理器 B,,
CODE_51A1,主屏幕处理器,,
CODE_51A2,二级屏幕处理器,,
CODE_51A3,一级 E67,,
CODE_51A4,二级 E67,,
CODE_53,检测到 IO 过电流,Masterboard 错误,移除与主板 I/O 接口的所有外部连接。检查短路
CODE_53AMASTER,，最高为 800mA,,
CODE_53ATOOL,，最高为 600mA,,
CODE_55,安全系统错误,安全系统故障,"检查 Motherboard、Masterboard、Screenboard、电流分配器 （Euromap, 如果有安装的话)。忽略 Masterboard 上的 I/O- 接口的所有安全连接"
CODE_55A100,违反安全性,,
CODE_55A101,主板中存在安全通道错误,,
CODE_55A102,屏幕中存在安全通道错误,,
CODE_55A103,Euromap67 接口中存在安全通道错误,,
CODE_55A109,已从 PC 收到故障消息,,
CODE_55A110,安全状态变动过于频繁,,
CODE_55A111,开/关状态变动过于频繁,,
CODE_55A112,机器人电流传感器读数不一致,,
CODE_55A120,紧急停止时机器人电流过高,,
CODE_55A121,安全停止时机器人电流过高,,
CODE_55A23,安全继电器错误(负端接头),,
CODE_55A24,安全继电器错误(正端接头),,
CODE_55A33,安全继电器错误(继电器卡住),,
CODE_55A34,安全继电器错误(继电器未开启),,
CODE_55A50,机器人未加电但存在电压,,
CODE_55A51,来自机器人的电压将消失,,
CODE_55A52,5V、3V3 或模数转换器错误(5V 过低),,
CODE_55A53,5V、3V3 或模数转换器错误(5V 过高),,
CODE_55A90,引导加载程序错误，机器人电压过低或电流过高,,
CODE_55A91,引导加载程序错误，机器人电压过高,,
CODE_56,关机时存在过电压,电压超过 55V,检查能量消耗很大的设备。替换能量消耗很大的设备
CODE_57,制动器释放失败,,
CODE_57A1,关节没有移动，或电机编码器没有工作,,
CODE_57A2,制动器释放过程中检测到大幅度运动,,
CODE_57A3,机器人不能实现制动器释放，请查看日志了解详情,,
CODE_58,未校准电机编码器,,
CODE_59,关机时存在过电流,关节过电流,检查关节是否短路。必要时替换关节
CODE_62,关节温度,,
CODE_62A1,高(80 C),,
CODE_62A11,关闭 (85 C),,
CODE_62A13,静荷载过高,,
CODE_62A3,静荷载过高警告,,
CODE_63,自我检测失败,,
CODE_68,SPI 错误,,
CODE_70,接近齿轮箱剪应力极限,加速/减速过快。与编码器安装有关的齿轮出现机械问题 ,降低用户程序中的加速。必要时替换关节
CODE_71,启动检查错误,,
CODE_71A1,硬件尺寸为 size1，但软件显示不是,,
CODE_71A10,电机测试结果无效,,
CODE_71A11,ADC 校准失败,,
CODE_71A2,硬件尺寸为 size2，但软件显示不是,,
CODE_71A3,硬件尺寸为 size3，但软件显示不是,,
CODE_71A4,硬件尺寸为 size4，但软件显示不是,,
CODE_71A5,硬件尺寸读数无效,,
CODE_71A6,电机指示信号未正常工作,,
CODE_71A7,电源第 1 相或第 2 相未正常工作,,
CODE_71A8,电源第 2 相未正常工作,,
CODE_71A9,电源第 1 相未正常工作,,
CODE_72,电源单元故障,,
CODE_72A1,0 PSU 激活,PSU 不能传输 48V 电压,检查电源与安全控制板之间的连接
CODE_72A2,"1 PSU 激活, 但我们预期的是 2 (UR10)",UR5 机器人不能传输 48V 电压或 UR10 闪存卡,检查电源与安全控制板之间的连接，并检查闪存卡与机器人是否匹配
CODE_72A3,"2 PSU 激活, 但我们预期的是 1 (UR5)",UR10 机器人中使用了 UR5 闪存卡,检查闪存卡与机器人是否匹配
CODE_73,制动器自我检测失败，检查制动器插销,,
CODE_74,关节编码器警告,,
CODE_74A128,信号饱和=距离磁环太近,,
CODE_74A16,温度超出范围,,
CODE_74A2,速度读数无效,,
CODE_74A64,信号弱=距离磁环太远,,
CODE_74A8,供应电压超出范围,,
CODE_75,关节编码器错误,,
CODE_75A1,无效解码：磁头错位，磁环损坏或存在外部磁场。,,
CODE_75A32,信号丢失=磁头错位或磁环损坏,,
CODE_75A4,系统错误=检测到故障或不一致校准,,
CODE_76,关节编码器通信 CRC 错误,,
CODE_77,关节编码器上检测到突然的位置改变,编码器上的位置读数与期望值不符。,
CODE_78,关节编码器上检测到巨大的位置改变,编码器上的位置读数与期望值严重不符，最近一次测量被放弃。,请联系您当地的服务供应商，寻求帮助。
?#,URTrans1.0_en,,
